Workers,AccidentsYear
2,0
3,0
2,0
3,1
2,0
2,0
2,0
2,1
2,1
2,0
2,0
2,0
2,0
2,0
2,0
2,0
3,0
2,1
2,0
2,0
3,0
3,0
2,0
2,0
2,0
2,0
2,0
3,0
2,1
2,0
2,0
2,0
3,1
3,0
2,0
3,0
2,0
2,0
3,0
2,0
2,0
2,0
3,0
3,0
2,0
2,1
2,0
2,0
3,0
2,0
3,0
3,0
2,0
2,0
2,1
2,0
2,0
2,0
2,0
3,0
2,0
2,0
2,0
3,1
3,0
2,0
2,0
2,2
2,0
2,0
2,0
3,0
2,0
2,0
2,0
2,0
2,0
3,0
3,0
3,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
3,1
2,0
2,0
3,0
2,0
2,0
2,0
3,0
2,0
4,0
3,0
2,0
3,0
4,0
3,0
3,0
3,0
5,0
3,0
5,2
3,0
3,0
5,2
3,1
4,1
5,0
3,0
4,1
3,0
3,0
4,0
4,0
3,0
3,0
3,0
3,0
3,0
3,0
3,0
3,1
3,0
4,0
3,0
4,0
5,0
3,0
3,1
6,1
5,2
3,0
4,0
4,1
3,0
3,1
4,0
3,0
3,0
3,0
5,0
4,2
3,0
3,0
4,0
3,0
4,0
4,0
3,0
3,0
3,0
4,0
3,0
5,0
4,0
5,0
4,0
5,0
4,0
3,0
5,0
4,0
5,0
4,1
4,0
3,0
4,0
4,0
3,0
6,0
3,0
3,1
4,0
3,0
3,0
4,0
6,2
4,0
5,0
3,0
3,1
4,2
4,0
7,0
3,0
5,0
3,1
5,0
3,0
3,0
5,0
4,0
4,1
4,0
3,0
6,1
8,0
7,2
6,1
5,0
4,1
6,0
6,1
9,2
6,1
6,0
4,0
6,0
5,1
7,0
7,2
7,1
5,0
5,0
4,0
4,0
8,1
6,4
9,0
6,0
8,1
9,2
9,1
5,0
6,1
6,2
9,1
7,0
6,0
7,0
8,0
6,1
8,2
9,1
7,2
4,0
10,1
4,0
6,0
6,1
5,1
6,2
4,1
4,0
7,0
4,0
4,1
4,1
9,0
6,1
6,0
5,1
7,0
6,2
5,0
4,0
7,0
6,3
8,0
6,0
5,2
5,2
5,0
6,0
3,0
5,3
5,1
5,3
8,2
6,0
8,1
3,1
5,0
5,0
5,0
6,0
7,1
7,1
5,0
5,0
5,0
5,0
7,0
8,0
5,0
10,1
6,1
7,1
7,1
7,1
7,0
8,0
8,2
3,0
7,1
9,0
21,4
12,3
15,2
12,0
12,2
9,1
11,0
13,2
20,0
13,1
10,2
16,2
17,0
11,3
12,1
16,0
11,0
11,3
9,1
10,0
12,2
15,2
10,0
4,0
14,2
15,1
10,1
18,0
14,1
12,1
12,3
14,0
14,3
11,0
15,0
10,2
15,4
12,1
15,0
15,0
13,1
10,0
10,0
13,0
11,0
11,2
11,3
10,1
10,0
14,1
13,1
16,1
11,1
9,1
10,0
14,2
14,3
13,2
11,1
11,1
11,1
15,0
16,1
14,2
13,0
11,1
10,5
12,2
9,4
14,1
14,2
11,1
14,0
15,4
15,2
14,1
11,0
11,1
10,1
12,2
11,1
12,0
15,0
13,0
22,3
14,1
8,1
12,1
19,1
15,0
10,0
7,0
15,1
15,0
12,0
14,3
12,0
10,0
12,0
26,0
25,3
31,1
23,4
29,2
20,3
23,2
30,1
24,3
29,1
32,4
36,4
30,1
33,1
24,2
33,1
38,2
30,3
25,4
37,1
28,1
31,2
25,2
29,5
19,3
31,1
29,2
29,1
27,0
27,1
28,2
37,2
29,7
30,3
15,2
22,1
31,4
32,1
33,2
39,2
26,2
29,3
26,1
25,0
37,1
20,2
29,0
31,2
22,1
29,1
34,3
15,1
28,2
27,2
20,2
34,5
30,5
32,5
32,2
33,3
19,3
25,2
39,3
20,1
22,3
20,2
34,1
26,3
22,3
28,1
29,4
34,3
21,0
24,3
36,1
31,3
26,2
23,0
30,0
26,3
35,1
31,1
33,0
28,5
26,2
36,1
25,5
27,2
26,0
24,1
50,2
66,1
79,0
46,0
70,1
65,3
47,1
53,4
55,3
69,3
